Equipo,Denominación,GMAO,Ubicación Tec
1732055,MATRIZ PREPARACION CAPOT CV080 [O.Z],WMPHMT052,ENVG_T_PIM
1744635,MATRIZ PREPARACION PORTILLON CR080,WPPHMT053,ENVG_T_004_OU-
1744638,PINZA ARO PRELIMINAR X52  [EM01],WPRXPZ736,ENVG_T_001_BR-
1744640,PINZA ARO LATERALES X,WPRXPZ741,ENVG_T_001_SE
1744641,PINZA ARO PRELIMINAR X52 [EM02],WPRXPZ747,ENVG_T_001_BR__SUB
1744642,PINZA ARO PRELIMINAR X52  [EM02],WPRXPZ748,ENVG_T_001_BR-
1744644,PINZA ARO PRELIMINAR X52  [EM02],WPRXPZ756,ENVG_T_001_BR__SUB
1744645,PINZA ARO PRELIMINAR X52 [EM02],WPRXPZ757,ENVG_T_001_BR-
1744647,SOLDADOR MILLER,WPRHSM024,ENVG_T_HJD_FER_RETQ
1744654,TUCKER M5 PLM200  TECHO – BM50,WBMHSG-33,ENVG_T_HJD_BM-_-050
1744665,PINZA ARO BLOQUE DELANTERO  [EM04],WBLXPZ707,ENVG_T_001_BR-
1744666,MATRIZ AIG005 ENSAMBLE REF FARO I [O.Z],WERFMT035,ENVG_T_PIM
1744668,MATRIZ LVG005 LARGUERO IZQ PREENSAMBLE,WSDTMM002,ENVG_T_UN1
1744670,MATRIZ LRD 005 HJD,WHUARMT004,ENVG_T_UN1
1744672,ESTACIONARIA PRP5,WPVXEE015,ENVG_T
1744673,ESTACIONARIA PRP6,WBLXEE006,ENVG_T
1744675,ESTACIONARIA PRP4,WBRXEE008,ENVG_T
1744677,ESTACIONARIA PRP7,WBLXEE012,ENVG_T
1744678,DISPOSITIVO MONTAJE TRAMPA GASOLINA H79,WDMHDN056,ENVG_T_001_BR-_LV--_LVD-_0020
1744679,PINZA ARO BLOQUE DELANTERO [EM04],WBLXPZ703,ENVG_T_001_BR-
1744680,PINZA ARO BLOQUE DELANTERO  [EM04],WBLXPZ705,ENVG_T_001_SE
1744681,PINZA ARO BLOQUE DELANTERO  [EM04],WBLXPZ709,ENVG_T_001_SE
1744682,PINZA ARO BLOQUE DELANTERO  [EM04],WBLXPZ710,ENVG_T_001_BR-
1744683,PINZA ARO BLOQUE DELANTERO  [EM04],WBLXPZ711,ENVG_T_001_SE
1744686,PINZA ARO  SUB [EM09],WBLXPZ702,ENVG_T_001_SE
1744687,PINZA ARO BLOQUE DELANTERO [EM01],WBLXPZ704,ENVG_T_001_BR-
1744688,PINZA ARO BLOQUE DELANTERO  [EM16],WBLXPZ708,ENVG_T_001_BR-
1744689,PINZA GFW  SUB,WBLXPZ941,ENVG_T_001_SE
1744690,PINZA ARO BLOQUE DELANTERO  [EM01],WBLXPZ700,ENVG_T_001_BR-
1744691,PINZA ARO BLOQUE DELANTERO  [EM11],WBLXPZ706,ENVG_T_OU-
1744692,MATRIZ PREPARACION CAPOT CV040,WMPCDN057,ENVG_T
1744693,MATRIZ CW010 H79  X52 BLOQUE DEL [J.V],WBLXMT652,ENVG_T_001_BR-_LV--
1744695,MATRIZ PREPARACION PORTILLON CR04L,WMPPDN058,ENVG_T
1744697,MATRIZ PREPARACION PORTILLON CR04B,WMPPDN059,ENVG_T
1744698,PINZA ARO BLOQUE DELANTERO  [EM13],WBLXPZ712,ENVG_T_HJD_UAV
1744699,PINZA ARO BLOQUE DELANTERO  [EM04],WBLXPZ714,ENVG_T_001_BR-
1744700,PINZA ARO BLOQUE DELANTERO [EM16],WBLXPZ715,ENVG_T_001_BR-
1744701,PINZA ARO SUBENSAMBLE CCG270 JESP IZQ,WCCGPZ-716,ENVG_T_L90_CCG_-270
1744702,PINZA ARO BLOQUE DELANTERO  [EM13],WBLXPZ718,ENVG_T_OU-
1744703,PINZA ARO PUERTAS HJD,WBLXPZ719,ENVG_T_OU-
1744704,MARCACION VIN BLOQUE DELANTERO,WUAVDM003,ENVG_T_001_BR-_SV--_CW--_0010
1744709,MATRIZ CW020 H79- X52 BLOQUE DEL  [J.V],WBLXMT653,ENVG_T_001_BR-_LV--
1744712,MATRIZ TU005 ENSAM. REFU. BAJO TUNEL 4X4,WERBMM005,ENVG_T_EST_PRO
1744714,ESTACIONARIA PRP11,WBLXEE007,ENVG_T
1744715,ESTACIONARIA PRP1,WBLXEE002,ENVG_T
1744716,ESTACIONARIA PRP2,WBLXEE003,ENVG_T
1744717,ESTACIONARIA PRP3,WBLXEE004,ENVG_T
1744720,PINZA ARO LATERALES X52  [EM07],WLDXPZ863,ENVG_T_OU-
1744721,MILLER BLOQUE X52,WBLXSM025,ENVG_T_EST
1744722,PINZA GFW BLOQUE DELANTERO  [EM11],WBLXPZ720,ENVG_T_OU-
1744723,PINZA ISI WELDING MF PUERTAS,WBLXPZ721MF,ENVG_T_EST_PRO
1744735,PINZA GFW PIVOTANTE  H79  [EM06],WPVHPZ980,ENVG_T_001_SE
1744738,PLASMA STAND BY X52 CAMPUZANO,WPVXCP001,ENVG_T_001_CS-_CSA-_CSA1_0020
1744752,PINZA ARO PIVOTANTE X90  [EM05],WPVXPZ823,ENVG_T_001_SE
1744753,PINZA ARO PIVOTANTE X52  [EM05],WPVXPZ901,ENVG_T_001_SE
1744755,PINZA -GFW ESTRIBOS BM40,WBMCPZ933,ENVG_T_HJD_BM-_-040
1744756,PINZA GFW ESTRIBOS BM40,WBMCPZ934,ENVG_T_HJD_BM-_-040
1744764,PINZA ARO  SUB ENSAMBLE,WLDBPZ887,ENVG_T_EST_PRO
1744765,PINZA ARO LATERALES X52  [EM05],WLIXPZ889,ENVG_T_001_SE
1744770,PINZA ARO SUB ENSAMBLE,WLIXPZ862,ENVG_T_EST_PRO
1744772,BOMBA MASTIC,WPRXBM003,ENVG_T_001_BR-_LV--
1744779,PINZA ARO SUB [EM09],WLDXPZ880,ENVG_T_001_SE
1744784,MATRIZ ISOFIX IZQ X52 MESA APLIC CO2,WDCAMM010,ENVG_T_UN1
1744789,PINZA ARO PORTILLO L52  [EM13],WCRLPZ866,ENVG_T_OU-
1744798,PINZA ARO LATERALES X52  [EM07],WLDXPZ884,ENVG_T_001_SE
1744806,PINZA ARO CABINA X52  [EM05],WCBXPZ897,ENVG_T_002_CC-
1744807,PINZA ARO CABINA X52  [EM05],WCBXPZ898,ENVG_T_002_CC-
1744808,PINZA CABINA X52  [EM05],WBMCPZ-902,ENVG_T_HJD_BM-_-010
1744809,PINZA GFW SUB [EM09],WLDHPZ968,ENVG_T_001_BR-
1744810,PINZA ARO FORRO DE PIE X52  [EM05],WLIXPZ861,ENVG_T_001_SE
1744811,PINZA ARO LATERALES X52  [EM06],WLIXPZ908,ENVG_T_001_SE
1744812,PINZA ARO LATERALES X52  [EM05],WLDXPZ900,ENVG_T_001_SE
1744813,BOMBA MASTIC,WPCXBM004,ENVG_T_002_OU-_CR--_CRS-_0010
1744819,PINZA CAPO B52  [EM13],WCVBPZ913,ENVG_T_OU-
1744822,: PINZA ARO SR010 PISO JESP DER,WUARPZ-918,ENVG_T_L90_SR-_-010
1744825,PINZA ARO ESCUELA DESTREZAS [EM14],WEDSPZ001,ENVG_T_001_BR-
1744830,PINZA ARO LATERALES X52   [EM05],WLIXPZ920,ENVG_T_001_BR__SUB
1744832,BOMBA MASTIC,WLDXBM006,ENVG_T_004_CC-_CCD-_PCD-_0020
1744834,PINZA ARO ESCUELA DESTREZAS [EM14],WEDSPZ002,ENVG_T_001_BR-
1744843,ROBOT H79 PUERTAS DELANTERAS DORIAN P,WSEHRB005,ENVG_T_001_OU-
1744844,PINZA PUERTA B52  [EM14],WPDBPZ832,ENVG_T_001_BR-
1744847,PINZA PUERTA TT,WPIBPZ928,ENVG_T_001_BR-
1744853,BOMBA MASTIC LATERALES JULIAN C,WLIXBM005,ENVG_T_001_BR__SUB
1744857,MATRIZ JR010 FALDON 2 [O.Z],WFDHMM012,ENVG_T_UN1
1744858,PINZA ARO LATERALES X52  [EM07],WLDXPZ771,ENVG_T_001_SE
1744860,PINZA ARO LATERALES X52  [EM06],WLDXPZ775,ENVG_T_001_SE
1744861,PINZA ARO PASO RUE LATERAL   X52  [EM06],WLDXPZ786,ENVG_T_001_SE
1744863,MATRIZ TV005 TRAVIESA EXTREMA,WTEXMM013,ENVG_T_HJD_UAV
1744865,PINZA ARO LATERALES X52  [EM06],WLIXPZ780,ENVG_T_OU-
1744867,PINZA ARO LATERALES X52  [EM06],WLDXPZ782,ENVG_T_OU-
1744873,MATRIZ LRO005 MESA APLIC CO2 ANILLO REMO,WMACMM014,ENVG_T_UN1
1744874,PINZA ARO LARGUERO TRASER IZQ X52 [EM01],WPRXPZ770,ENVG_T_001_BR-
1744875,PINZA ARO SUB [EM09],WLIXPZ772,ENVG_T_001_SE
1744876,PINZA ARO LATERALES X52  [EM08],WLIXPZ773,ENVG_T_OU-
1744877,PINZA ARO LATERALES X52  [EM07],WLDXPZ776,ENVG_T_001_BR-
1744879,PINZA ARO LATERALES X52  [EM05],WLIXPZ785,ENVG_T_001_BR__SUB
1744880,MATRIZ TVO005 MESA APLICAC. CO2 TUNEL,WMACMM015,ENVG_T_UN1
1744882,PINZA GFW SUB [EM10],WLIXPZ777,ENVG_T_001_SE
1744883,PINZA ARO LATERALES X52  [EM08],WLIXPZ778,ENVG_T_001_BR-
1744885,PINZA ARO LATERALES X52 [EM08],WLDXPZ830,ENVG_T_001_BR-
1744892,PINZA PUERTA L52  [EM14],WPDLPZ840,ENVG_T_COM_CF-_CFF-_CFF1
1744893,PINZA PUERTA TT,WPDLPZ846,ENVG_T_001_SE
1744894,PINZA PUERTA L52  [EM15],WPDLPZ848,ENVG_T_001_BR-
1744895,PINZA PUERTA L52  [EM15],WPDLPZ850,ENVG_T_001_SE
1744897,PINZA PUERTA TT,WPILPZ841,ENVG_T_001_BR__SUB
1744899,PINZA PUERTA X52  [EM16],WPILPZ849,ENVG_T_001_BR-
1744901,BOMBA MASTIC SERTISSAGE,WSEXBM009,ENVG_T_003_OU-_PV--_PVP-_0202
1744903,PINZA PUERTA TT,WPILPZ842,ENVG_T_001_SE
1744907,PINZA PUERTA TT,WPDLPZ845,ENVG_T_001_BR-
1744909,PINZA GFW SUB ENSAMBLE,WBRHPZ948,ENVG_T_EST_PRO
1744911,PINZA GFW BASE RODANTE X52  [EM11],WBRHPZ947,ENVG_T_OU-
1744918,TUCKER M5 PLM200,WUARHSG-03,ENVG_T_HJD_PRP_UAV-_DPG-_0010
1744923,TUCKER PLM200  LATERALES H79 ROBER SOSSA,WUARHSG-04,ENVG_T_HJD_PRP_UAV-_DPG-_0010
1744940,MATRIZ CXPOG/D005 MESA APLICA. CO2 APPUI,WMACMM016,ENVG_T_UN1
1744944,PINZA GFW LATERALES H79  [EM05],WLIHPZ954,ENVG_T_001_BR-
1744958,TUCKER PLM200  LATERALES,WUARHSG-01,ENVG_T_HJD_PRP_UAV-_DPG-_0010
1744959,TUCKERr M5 PLM200 LATERALES H79 ROBER S,WUARHSG-02,ENVG_T_HJD_PRP_UAV-_DPG-_0010
1744964,PINZA GFW SUB [EM10],WLIHPZ965,ENVG_T_001_SE
1744969,PINZA ALETAS H79  [EM16],WADHPZ943,ENVG_T_001_SE
1744970,PINZA ALETAS H79  [EM15],WADHPZ944,ENVG_T_COM_OU-_AI--_AIDG
1744971,PINZA ALETAS H79  [EM16],WAIHPZ945,ENVG_T_001_SE
